Dimension,VIF
dim_0,21.347204
dim_1,5.3233423
dim_2,3.5722198
dim_3,3.2660062
dim_4,7.854465
dim_5,6.058887
dim_6,2.0727715
dim_7,3.2691119
dim_8,3.8475707
dim_9,5.8542953
dim_10,3.019254
dim_11,7.0237937
dim_12,10.421064
dim_13,3.5500798
dim_14,1.9477905
dim_15,2.1516004
dim_16,2.5927353
dim_17,3.7490869
dim_18,3.7472045
dim_19,3.4254847
dim_20,2.9857996
dim_21,5.458133
dim_22,2.4779522
dim_23,6.131961
dim_24,3.937589
dim_25,9.133639
dim_26,3.0114794
dim_27,11.754093
dim_28,1.9439547
dim_29,2.3015819
dim_30,9.620085
dim_31,3.0571733
dim_32,13.19032
dim_33,3.8364742
dim_34,3.6266406
dim_35,2.7741141
dim_36,2.506374
dim_37,1.8981085
dim_38,3.9857714
dim_39,1.7364149
dim_40,1.9674921
dim_41,2.765479
dim_42,2.5015433
dim_43,2.393811
dim_44,2.8845873
dim_45,2.8522706
dim_46,5.62797
dim_47,2.4244196
dim_48,3.2404938
dim_49,1.8308567
dim_50,3.3514764
dim_51,2.1469884
dim_52,1.9800199
dim_53,2.3214116
dim_54,2.265287
dim_55,1.5560398
dim_56,2.4974837
dim_57,2.5490005
dim_58,1.8023155
dim_59,1.4565808
dim_60,2.18676
dim_61,1.6922625
dim_62,1.990496
dim_63,3.4617457
dim_64,1.7346138
dim_65,2.1042604
dim_66,2.1745582
dim_67,1.6282947
dim_68,2.2291503
dim_69,2.1499667
dim_70,1.6788011
dim_71,1.7172102
dim_72,2.0371394
dim_73,1.4940008
dim_74,1.652517
dim_75,3.0861564
dim_76,1.7385591
dim_77,1.9207063
dim_78,2.1580024
dim_79,1.5377098
dim_80,1.9947543
dim_81,2.8415933
dim_82,1.7843285
dim_83,1.7486588
dim_84,1.7690747
dim_85,2.1668434
dim_86,2.0711815
dim_87,1.5796351
dim_88,2.2105598
dim_89,1.6466671
dim_90,2.6120944
dim_91,2.6533008
dim_92,1.5287563
dim_93,2.7975585
dim_94,1.7617875
dim_95,1.8890164
dim_96,1.4242775
dim_97,1.8202984
dim_98,1.672058
dim_99,2.6932669
dim_100,1.6039389
dim_101,1.7353714
dim_102,1.4692273
dim_103,1.4763681
dim_104,1.5232437
dim_105,1.7792273
dim_106,2.8784428
dim_107,1.6568873
dim_108,1.4673889
dim_109,1.5281584
dim_110,1.5523101
dim_111,1.5588272
dim_112,1.989115
dim_113,1.6669904
dim_114,1.438624
dim_115,1.806301
dim_116,1.4974066
dim_117,1.4359819
dim_118,1.5018953
dim_119,1.7468637
dim_120,1.5689543
dim_121,1.5067434
dim_122,1.4017197
dim_123,1.520455
dim_124,1.4878763
dim_125,1.399439
dim_126,1.4825959
dim_127,1.4640056
dim_128,1.859297
dim_129,1.3756732
dim_130,1.4848348
dim_131,1.5808492
dim_132,1.6321884
dim_133,1.4255716
dim_134,1.7110355
dim_135,1.7602059
dim_136,1.6755556
dim_137,1.4385425
dim_138,1.6487023
dim_139,1.8248478
dim_140,1.4504664
dim_141,1.5053531
dim_142,1.6416624
dim_143,1.4507936
dim_144,1.5348277
dim_145,1.6486701
dim_146,1.6749072
dim_147,1.8576311
dim_148,1.5652567
dim_149,1.8279475
dim_150,1.6247175
dim_151,1.4274122
dim_152,1.730473
dim_153,1.4870448
dim_154,1.4308336
dim_155,1.8348315
dim_156,1.4710381
dim_157,1.6258237
dim_158,1.3907425
dim_159,1.5895514
dim_160,1.4365927
dim_161,1.3756707
dim_162,1.6657205
dim_163,1.494261
dim_164,1.4060482
dim_165,1.5872428
dim_166,1.47631
dim_167,1.3622137
dim_168,1.3092543
dim_169,1.4140724
dim_170,1.7821761
dim_171,1.4196264
dim_172,1.9239688
dim_173,1.4757754
dim_174,1.6226523
dim_175,1.4481995
dim_176,1.3605943
dim_177,1.4115604
dim_178,1.819981
dim_179,1.6419221
dim_180,1.539364
dim_181,1.418021
dim_182,1.4440508
dim_183,1.524461
dim_184,1.5107654
dim_185,1.4215089
dim_186,2.0867019
dim_187,1.7592771
dim_188,1.4470987
dim_189,1.4787774
dim_190,1.4285601
dim_191,1.4863828
dim_192,1.6149852
dim_193,1.3619348
dim_194,1.4050792
dim_195,1.4878138
dim_196,1.3404938
dim_197,1.7084904
dim_198,1.3273667
dim_199,1.4432341
dim_200,1.6280961
dim_201,1.3398327
dim_202,1.4774685
dim_203,1.5415808
dim_204,1.6188307
dim_205,1.327408
dim_206,1.3939718
dim_207,1.3377903
dim_208,1.5725214
dim_209,1.4657224
dim_210,1.5937929
dim_211,1.6243957
dim_212,1.4512049
dim_213,1.4335546
dim_214,1.3932698
dim_215,1.3641695
dim_216,1.5261731
dim_217,1.3707998
dim_218,1.3116268
dim_219,1.5229272
dim_220,2.0387604
dim_221,1.6703074
dim_222,1.533257
dim_223,1.6921089
dim_224,1.5944833
dim_225,1.4973861
dim_226,1.3699805
dim_227,1.5303482
dim_228,1.5070486
dim_229,1.2765285
dim_230,1.5337981
dim_231,1.7024438
dim_232,1.4363303
dim_233,1.4382614
dim_234,1.7797748
dim_235,1.5262915
dim_236,1.4801462
dim_237,1.9827734
dim_238,1.6016729
dim_239,1.4735698
dim_240,1.3959539
dim_241,1.7209748
dim_242,1.3617625
dim_243,1.4769231
dim_244,1.4766743
dim_245,1.6706754
dim_246,1.3792642
dim_247,1.4432012
dim_248,1.5071338
dim_249,2.35421
dim_250,1.5075154
dim_251,1.5416677
dim_252,1.4904579
dim_253,1.5981818
dim_254,1.399411
dim_255,1.3821919
dim_256,1.7172489
dim_257,2.0312402
dim_258,1.3049444
dim_259,1.2879303
dim_260,1.3830979
dim_261,1.9370173
dim_262,1.3349115
dim_263,1.3816837
dim_264,1.4964468
dim_265,1.4903039
dim_266,1.3174288
dim_267,1.3174511
dim_268,1.4841295
dim_269,1.333731
dim_270,1.3148067
dim_271,1.2582277
dim_272,1.2048986
dim_273,1.4303869
dim_274,1.2766125
dim_275,1.3182303
dim_276,1.3432039
dim_277,1.3438097
dim_278,1.4076676
dim_279,1.2933066
dim_280,1.3294045
dim_281,1.2741244
dim_282,1.2608413
dim_283,1.24326
dim_284,1.3056946
dim_285,1.3204904
dim_286,1.2528993
dim_287,1.3581983
dim_288,1.305508
dim_289,1.2743064
dim_290,1.323948
dim_291,1.2559664
dim_292,1.3202345
dim_293,1.2745298
dim_294,1.304419
dim_295,1.2211511
dim_296,1.2970353
dim_297,1.273098
dim_298,1.2609516
dim_299,1.2778099
